blob 0 ->	 a=    126	 p=   78.77 (    0.00 extern)	 pconvex=   49.35	 ext=0	 c=3.92	 l=   35.87
blob 1 ->	 a=    103	 p=   79.60 (    0.00 extern)	 pconvex=   47.66	 ext=0	 c=4.90	 l=   37.02
blob 2 ->	 a=     93	 p=   78.77 (    0.00 extern)	 pconvex=   46.50	 ext=0	 c=5.31	 l=   36.86
blob 3 ->	 a=    103	 p=   78.77 (    0.00 extern)	 pconvex=   47.62	 ext=0	 c=4.79	 l=   36.57
blob 4 ->	 a=    185	 p=   50.63 (    0.00 extern)	 pconvex=   49.62	 ext=0	 c=1.10	 l=   14.62
blob 5 ->	 a=     38	 p=   49.07 (   23.00 extern)	 pconvex=   47.77	 ext=1	 c=4.98	 l=   22.85
blob 6 ->	 a=    119	 p=   76.77 (    0.00 extern)	 pconvex=   48.45	 ext=0	 c=3.94	 l=   34.98
blob 7 ->	 a=    106	 p=   78.77 (    0.00 extern)	 pconvex=   47.56	 ext=0	 c=4.66	 l=   36.48
blob 8 ->	 a=    172	 p=   49.21 (    0.00 extern)	 pconvex=   47.97	 ext=0	 c=1.12	 l=   14.02
blob 9 ->	 a=    115	 p=   77.94 (    0.00 extern)	 pconvex=   48.27	 ext=0	 c=4.20	 l=   35.75
blob 10 ->	 a=    119	 p=   77.94 (    0.00 extern)	 pconvex=   48.55	 ext=0	 c=4.06	 l=   35.63
blob 11 ->	 a=     68	 p=   57.56 (    0.00 extern)	 pconvex=   54.37	 ext=0	 c=3.91	 l=   26.20
blob 12 ->	 a=     62	 p=   46.14 (    0.00 extern)	 pconvex=   43.51	 ext=0	 c=2.73	 l=   19.97
blob 13 ->	 a=    109	 p=   79.60 (    0.00 extern)	 pconvex=   48.17	 ext=0	 c=4.63	 l=   36.84
blob 14 ->	 a=    110	 p=   80.18 (    0.00 extern)	 pconvex=   48.38	 ext=0	 c=4.67	 l=   37.14
blob 15 ->	 a=    178	 p=   50.63 (    0.00 extern)	 pconvex=   48.91	 ext=0	 c=1.15	 l=   14.06
blob 16 ->	 a=    179	 p=   50.63 (    0.00 extern)	 pconvex=   48.85	 ext=0	 c=1.14	 l=   14.14
blob 17 ->	 a=    102	 p=   79.84 (    0.00 extern)	 pconvex=   47.81	 ext=0	 c=4.95	 l=   37.16
blob 18 ->	 a=    190	 p=   52.04 (    0.00 extern)	 pconvex=   50.41	 ext=0	 c=1.13	 l=   14.64
blob 19 ->	 a=    106	 p=   78.18 (    0.00 extern)	 pconvex=   47.54	 ext=0	 c=4.57	 l=   36.15
blob 20 ->	 a=    101	 p=   79.60 (    0.00 extern)	 pconvex=   47.55	 ext=0	 c=4.99	 l=   37.07
blob 21 ->	 a=    111	 p=   80.43 (    0.00 extern)	 pconvex=   48.54	 ext=0	 c=4.64	 l=   37.23
blob 22 ->	 a=    112	 p=   79.84 (    0.00 extern)	 pconvex=   48.57	 ext=0	 c=4.55	 l=   36.90
blob 23 ->	 a=    178	 p=   50.04 (    0.00 extern)	 pconvex=   48.57	 ext=0	 c=1.12	 l=   14.27
blob 24 ->	 a=    101	 p=   79.60 (    0.00 extern)	 pconvex=   47.66	 ext=0	 c=4.99	 l=   37.07
blob 25 ->	 a=    114	 p=   77.36 (    0.00 extern)	 pconvex=   47.92	 ext=0	 c=4.16	 l=   35.45
blob 26 ->	 a=    178	 p=   50.87 (    0.00 extern)	 pconvex=   48.82	 ext=0	 c=1.16	 l=   13.96
blob 27 ->	 a=    106	 p=   78.18 (    0.00 extern)	 pconvex=   47.66	 ext=0	 c=4.61	 l=   36.18
blob 28 ->	 a=    111	 p=   80.43 (    0.00 extern)	 pconvex=   48.29	 ext=0	 c=4.64	 l=   37.23
blob 29 ->	 a=    115	 p=   80.43 (    0.00 extern)	 pconvex=   48.79	 ext=0	 c=4.48	 l=   37.11
blob 30 ->	 a=    116	 p=   80.43 (    0.00 extern)	 pconvex=   48.97	 ext=0	 c=4.44	 l=   37.09
blob 31 ->	 a=    106	 p=   78.18 (    0.00 extern)	 pconvex=   47.66	 ext=0	 c=4.61	 l=   36.18
blob 32 ->	 a=    171	 p=   48.63 (    0.00 extern)	 pconvex=   47.84	 ext=0	 c=1.10	 l=   14.07
blob 33 ->	 a=     97	 p=   79.60 (    0.00 extern)	 pconvex=   47.48	 ext=0	 c=5.20	 l=   37.19
blob 34 ->	 a=     98	 p=   79.60 (    0.00 extern)	 pconvex=   47.74	 ext=0	 c=5.14	 l=   37.16
blob 35 ->	 a=    102	 p=   79.60 (    0.00 extern)	 pconvex=   47.83	 ext=0	 c=4.94	 l=   37.05
blob 36 ->	 a=     94	 p=   76.77 (    0.00 extern)	 pconvex=   46.27	 ext=0	 c=4.99	 l=   35.76
blob 37 ->	 a=    106	 p=   79.01 (    0.00 extern)	 pconvex=   47.74	 ext=0	 c=4.66	 l=   36.60
blob 38 ->	 a=    107	 p=   79.60 (    0.00 extern)	 pconvex=   47.74	 ext=0	 c=4.71	 l=   36.90
blob 39 ->	 a=    103	 p=   79.60 (    0.00 extern)	 pconvex=   47.84	 ext=0	 c=4.90	 l=   37.02
blob 40 ->	 a=    102	 p=   78.18 (    0.00 extern)	 pconvex=   47.34	 ext=0	 c=4.75	 l=   36.27
blob 41 ->	 a=    104	 p=   79.36 (    0.00 extern)	 pconvex=   47.76	 ext=0	 c=4.80	 l=   36.84
blob 42 ->	 a=    102	 p=   79.60 (    0.00 extern)	 pconvex=   47.56	 ext=0	 c=4.94	 l=   37.05
blob 43 ->	 a=    174	 p=   48.63 (    0.00 extern)	 pconvex=   48.09	 ext=0	 c=1.08	 l=   14.31
blob 44 ->	 a=    106	 p=   78.77 (    0.00 extern)	 pconvex=   47.92	 ext=0	 c=4.66	 l=   36.48
blob 45 ->	 a=    110	 p=   78.43 (    0.00 extern)	 pconvex=   48.09	 ext=0	 c=4.45	 l=   36.17
blob 46 ->	 a=    109	 p=   79.60 (    0.00 extern)	 pconvex=   48.00	 ext=0	 c=4.63	 l=   36.84
blob 47 ->	 a=    124	 p=   75.94 (    0.00 extern)	 pconvex=   48.46	 ext=0	 c=3.70	 l=   34.36
blob 48 ->	 a=    115	 p=   78.77 (    0.00 extern)	 pconvex=   48.59	 ext=0	 c=4.29	 l=   36.21
blob 49 ->	 a=    104	 p=   78.18 (    0.00 extern)	 pconvex=   47.69	 ext=0	 c=4.70	 l=   36.24
blob 50 ->	 a=    106	 p=   80.18 (    0.00 extern)	 pconvex=   48.48	 ext=0	 c=4.85	 l=   37.26
blob 51 ->	 a=     96	 p=   78.77 (    0.00 extern)	 pconvex=   47.22	 ext=0	 c=5.14	 l=   36.77
blob 52 ->	 a=    106	 p=   80.43 (    0.00 extern)	 pconvex=   48.02	 ext=0	 c=4.86	 l=   37.38
blob 53 ->	 a=    101	 p=   79.60 (    0.00 extern)	 pconvex=   47.59	 ext=0	 c=4.99	 l=   37.07
blob 54 ->	 a=     98	 p=   78.53 (    0.00 extern)	 pconvex=   47.09	 ext=0	 c=5.03	 l=   36.60
blob 55 ->	 a=     98	 p=   77.36 (    0.00 extern)	 pconvex=   46.68	 ext=0	 c=4.88	 l=   35.97
blob 56 ->	 a=     98	 p=   79.36 (    0.00 extern)	 pconvex=   47.27	 ext=0	 c=5.09	 l=   37.02
blob 57 ->	 a=     98	 p=   78.77 (    0.00 extern)	 pconvex=   47.44	 ext=0	 c=5.04	 l=   36.72
blob 58 ->	 a=    101	 p=   78.77 (    0.00 extern)	 pconvex=   47.48	 ext=0	 c=4.89	 l=   36.63
blob 59 ->	 a=     95	 p=   79.60 (    0.00 extern)	 pconvex=   47.07	 ext=0	 c=5.31	 l=   37.25
blob 60 ->	 a=    102	 p=   78.77 (    0.00 extern)	 pconvex=   47.66	 ext=0	 c=4.84	 l=   36.60
blob 61 ->	 a=     96	 p=   78.77 (    0.00 extern)	 pconvex=   47.44	 ext=0	 c=5.14	 l=   36.77
blob 62 ->	 a=     98	 p=   78.18 (    0.00 extern)	 pconvex=   47.09	 ext=0	 c=4.94	 l=   36.38
blob 63 ->	 a=    100	 p=   78.53 (    0.00 extern)	 pconvex=   47.32	 ext=0	 c=4.93	 l=   36.54
blob 64 ->	 a=    116	 p=   80.18 (    0.00 extern)	 pconvex=   49.02	 ext=0	 c=4.39	 l=   36.94
blob 65 ->	 a=    114	 p=   79.01 (    0.00 extern)	 pconvex=   48.73	 ext=0	 c=4.38	 l=   36.39
blob 66 ->	 a=    114	 p=   78.43 (    0.00 extern)	 pconvex=   48.27	 ext=0	 c=4.29	 l=   36.05
blob 67 ->	 a=    180	 p=   50.63 (    0.00 extern)	 pconvex=   49.05	 ext=0	 c=1.13	 l=   14.22
blob 68 ->	 a=    119	 p=   79.60 (    0.00 extern)	 pconvex=   49.02	 ext=0	 c=4.24	 l=   36.54
